r,g,m,value
NE,trk,trn,1.3486059464421902
NE,gmt,trd,0.7303344271046384
NE,wtt,trn,0.003725923150863639
NE,wht,trd,6.717480986526577
NE,ott,trd,4.0545869690295575
NE,air,trn,0.03499790910721801
NE,otr,trn,0.016799396269071995
NV,fbt,trd,0.5624262971603525
NV,pip,trn,0.053028343893816735
NV,trn,trn,0.13741831602760982
NV,mvt,trd,0.6849445055832772
NV,trk,trn,0.713557963805619
NV,gmt,trd,0.4772583865829079
NV,wtt,trn,0.008032351207892273
NV,wht,trd,4.389734371746521
NV,ott,trd,2.649588412216368
NV,air,trn,0.018517667689277918
NV,otr,trn,0.008888692079808042
NH,fbt,trd,0.26754021612373396
NH,pip,trn,0.05230586174223078
NH,trn,trn,0.016489158995796265
NH,mvt,trd,0.3258208266251602
NH,trk,trn,0.3055857389390524
NH,gmt,trd,0.22702674561614858
NH,wtt,trn,0.01911422234069825
NH,wht,trd,2.0881500180067287
NH,ott,trd,1.2603810668568418
NH,air,trn,0.007930309030644228
NH,otr,trn,0.0038066389490255645
NJ,fbt,trd,2.916793334160464
NJ,pip,trn,0.46946882711326104
NJ,trn,trn,0.4404829791318867
NJ,mvt,trd,3.5521837763313826
NJ,trk,trn,3.719741850892757
NJ,gmt,trd,2.4751048940734615
NJ,wtt,trn,0.23266783664320523
NJ,wht,trd,22.765557049681853
NJ,ott,trd,13.741003680021924
NJ,air,trn,0.0965316722377659
NJ,otr,trn,0.04633630567672825
NM,fbt,trd,0.5447279846546734
NM,pip,trn,0.13546849293032504
NM,trn,trn,0.15241804446382262
NM,mvt,trd,0.6633908158463896
NM,trk,trn,0.7914455117685176
NM,gmt,trd,0.46224011998629405
NM,wtt,trn,0.006184635324255609
NM,wht,trd,4.251599133191093
NM,ott,trd,2.5662117209635014
NM,air,trn,0.02053894108747175
NM,otr,trn,0.009858926406674979
NY,fbt,trd,6.222531277077479
NY,pip,trn,0.9477579931939387
NY,trn,trn,1.142438724783746
NY,mvt,trd,7.578039345907672
NY,trk,trn,7.293803705113355
NY,gmt,trd,5.280256724754419
NY,wtt,trn,0.4562234684543022
NY,wht,trd,48.56682478071784
NY,ott,trd,29.314324116138867
NY,air,trn,0.18928277736790297
NY,otr,trn,0.09085789594379286
NC,fbt,trd,3.8622796353695175
NC,pip,trn,0.22298599509323103
NC,trn,trn,0.5907608492025471
NC,mvt,trd,4.70363357586442
NC,trk,trn,5.120543631849369
NC,gmt,trd,3.2774167150703755
NC,wtt,trn,0.06782472514652313
NC,wht,trd,30.145072793145644
NC,ott,trd,18.195186495159003
NC,air,trn,0.13288412458790105
NC,otr,trn,0.06378589817985658
ND,fbt,trd,0.3379745670549459
ND,pip,trn,0.10019995370845082
ND,trn,trn,0.11273677494487633
ND,mvt,trd,0.41159850437286927
ND,trk,trn,0.5853966625490853
ND,gmt,trd,0.28679526080678963
ND,wtt,trn,0.036616243952724496
ND,wht,trd,2.6378897666555106
ND,ott,trd,1.5921970594438892
ND,air,trn,0.015191731314555562
ND,otr,trn,0.007292204616699622
OH,fbt,trd,3.9157114780464037
OH,pip,trn,1.0352371233686257
OH,trn,trn,1.164763957190798
OH,mvt,trd,4.768704941213984
OH,trk,trn,6.048150069312832
OH,gmt,trd,3.322757402653574
OH,wtt,trn,0.14794922231938745
OH,wht,trd,30.562108051860815
OH,ott,trd,18.446903728003264
OH,air,trn,0.15695660170492834
OH,otr,trn,0.07534096225606177
OK,fbt,trd,0.9661875253378335
OK,pip,trn,0.24665288061184526
OK,trn,trn,0.27751360416744214
OK,mvt,trd,1.1766605512305408
OK,trk,trn,1.4410163655206802
OK,gmt,trd,0.8198782699305349
OK,wtt,trn,0.005521437122979213
OK,wht,trd,7.541088691873466
OK,ott,trd,4.551706213042265
OK,air,trn,0.037396068077227826
OK,otr,trn,0.017950539976828966
OR,fbt,trd,1.4012250516024964
OR,pip,trn,0.09952310180030634
OR,trn,trn,0.3275372790713109
OR,mvt,trd,1.706466082803269
OR,trk,trn,1.7007691600412234
OR,gmt,trd,1.1890382984291612
OR,wtt,trn,0.08280182217311917
OR,wht,trd,10.936554358549255
