r,g,value
DE,che,1.5450345184
DE,air,0.4578988707
DE,mmf,0.310934981
DE,otr,0.35722539
DE,min,0.1304021673
DC,ppd,0.4761383913
DC,res,3.7216403823
DC,com,5.1632854748
DC,amb,3.3559700599
DC,fbp,3.8329032807
DC,rec,0.4493596277
DC,con,11.2728179841
DC,agr,0.4518855806
DC,eec,0.4629469812
DC,fnd,11.3021263201
DC,pub,2.0364956704
DC,hou,5.8660660512
DC,ins,3.4783640988
DC,tex,0.1357319143
DC,leg,2.6742157945
DC,fen,0.2812020275
DC,uti,0.2662991144
DC,nmp,0.3101926447
DC,brd,5.5471200277
DC,bnk,3.7851798489
DC,ore,7.4810886328
DC,edu,1.4039385776
DC,ote,4.1007097761
DC,man,2.1497825646
DC,mch,0.4948265059
DC,dat,2.5374211175
DC,amd,0.8796425535
DC,oil,0.2085197215
DC,hos,3.1235861737
DC,rnt,1.2635518369
DC,pla,0.69989857
DC,fof,0.1046732975
DC,fin,0.5960482652
DC,tsv,19.1740003324
DC,nrs,0.739550179
DC,sec,2.4305189084
DC,art,0.7813187996
DC,mov,0.6471728424
DC,fpd,0.1841331305
DC,slg,51.94160335
DC,pri,0.4888330047
DC,grd,0.6705814419
DC,sle,0.5669351034
DC,osv,5.696751875
DC,trn,0.0551705399
DC,smn,0.0003155466
DC,fmt,1.0952624423
DC,pet,2.5943022111
DC,cep,1.2130865301
DC,wst,0.8332614038
DC,mot,1.1048326772
DC,adm,5.7346651811
DC,soc,0.6844255816
DC,alt,0.0396080879
DC,pmt,0.0711395427
DC,trk,0.4612854975
DC,fdd,17.2209257922
DC,wtt,0.2449372972
DC,wpd,0.2009298066
DC,wht,0.1049228407
DC,wrh,0.3943293815
DC,ott,0.0161187944
DC,che,1.8083996371
DC,air,1.1916034585
DC,mmf,0.3522382622
DC,otr,0.6063807661
DC,min,0.2297725359
FL,ppd,5.7532987329
FL,res,27.6202911157
FL,com,10.1981110609
FL,amb,29.3746371834
FL,fbp,39.8633004664
FL,rec,6.0366401098
FL,con,46.1801586912
FL,agr,6.4996025009
FL,eec,3.7776121996
FL,fnd,5.758631048
FL,pub,8.6260685387
FL,hou,68.5179745663
FL,ins,34.636617633
FL,tex,1.4960190332
FL,leg,7.7790825245
FL,fen,2.4434565129
FL,uti,6.6068868191
FL,nmp,1.7294280007
FL,brd,18.5226396741
FL,bnk,42.1503515712
FL,ore,34.4976287201
FL,edu,16.0452027069
FL,ote,6.47315725
FL,man,16.4220236777
FL,mch,5.7723062136
FL,dat,9.3984443467
FL,amd,5.6714477705
FL,oil,2.4768290743
FL,hos,33.7539247122
FL,rnt,8.6588333136
FL,pla,8.5353501297
FL,fof,0.4800524406
FL,fin,9.6693277676
FL,tsv,45.4205078612
FL,nrs,7.823940272
FL,sec,19.6860312975
FL,art,4.7263910981
FL,mov,3.6657433723
FL,fpd,3.2717781828
FL,slg,26.3872463148
FL,pri,2.5809874755
FL,grd,3.6931944336
FL,pip,2.45943e-05
FL,sle,2.0011307415
FL,osv,21.5974772552
FL,trn,0.1992834669
FL,smn,0.0345238517
FL,fmt,9.209782882
FL,pet,22.4685151338
FL,cep,7.5927163744
FL,wst,4.5387796542
FL,mot,14.1538970248
FL,adm,21.9297770628
FL,soc,6.6820038735
FL,alt,0.5328876614
FL,pmt,2.0852734966
FL,trk,1.21007399
FL,fdd,9.0483632804
FL,wtt,0.6901700745
FL,wpd,2.5469200102
FL,wht,2.2247657496
FL,wrh,4.4498414587
FL,ott,0.198336621
FL,che,22.9302099901
FL,air,4.0471124952
FL,mmf,4.2441792049
FL,otr,6.6125445988
FL,min,1.3071250684
GA,ppd,3.4890342539
GA,res,19.1424774309
GA,com,7.4347680577
GA,amb,15.2798409895
GA,fbp,16.5478981883
GA,rec,4.4709131859
GA,con,25.4645854936
GA,agr,9.1252596384
GA,eec,1.495612405
GA,fnd,3.2083268777
GA,pub,3.8296459375
GA,hou,30.5989311197
GA,ins,15.6038319969
GA,tex,1.0996966516
GA,leg,5.4153459832
GA,fen,1.1171604758
GA,uti,1.6787045779
GA,nmp,1.3093925215
GA,brd,13.8069472247
GA,bnk,14.7072456766
GA,ore,20.1920334944
GA,edu,5.6564898253
GA,ote,4.311289205
GA,man,8.2701027493
GA,mch,3.4694658242
GA,dat,6.037486238
GA,amd,4.2346829711
GA,oil,1.2299632673
GA,hos,14.7426949974
GA,rnt,5.92020947
GA,pla,3.7654621089
GA,fof,0.590708899
GA,fin,2.6643426237
GA,tsv,27.8450075044
GA,nrs,3.4345556376
GA,sec,10.4791484808
GA,art,5.0282714267
GA,mov,3.2584574698
GA,fpd,0.8674501583
GA,slg,14.701221675
GA,pri,1.3512435794
GA,grd,2.4722164824
GA,sle,1.5032293178
GA,osv,12.6944591872
GA,trn,0.1735199816
GA,smn,0.0547352591
GA,fmt,6.0201437965
GA,pet,12.1829866374
GA,cep,3.397973361
GA,wst,2.5530188482
GA,mot,7.1640591892
GA,adm,14.9220698468
GA,soc,4.2864764681
GA,alt,0.2047434118
GA,pmt,2.6648845797
GA,trk,0.8970709238
GA,fdd,5.041147257
GA,wtt,0.7860138268
GA,wpd,1.6872320938
GA,wht,1.9135215143
GA,wrh,2.3267436044
GA,ott,0.1148997092
GA,che,12.5486599205
GA,air,2.7050549451
GA,mmf,2.0090098398
GA,otr,5.2412658454
GA,min,1.0334892287
HI,ppd,0.6021732138
HI,res,2.7650027963
HI,com,1.830330675
HI,amb,2.722060951
HI,fbp,5.004698866
HI,rec,0.5795820479
HI,con,6.1013248645
HI,agr,0.280752068
HI,eec,0.2738122268
HI,fnd,1.0656074925
HI,pub,0.7857496693
HI,hou,6.3293725988
HI,ins,2.8265966242
HI,tex,0.131404448
HI,leg,1.0567987337
HI,fen,0.2676418455
HI,uti,0.3589790052
HI,nmp,0.3556275993
HI,brd,3.4525129239
HI,bnk,3.4735615726
HI,ore,4.2472206755
HI,edu,1.10145356
HI,ote,1.2157192979
HI,man,2.4180862943
HI,mch,0.5256227306
HI,dat,1.7334832417
HI,amd,0.6248053074
HI,oil,0.8538740974
HI,hos,2.5239588191
HI,rnt,1.13014964
HI,pla,0.8618830644
HI,fof,0.0424219338
HI,fin,0.4227601778
HI,tsv,6.8079513564
HI,nrs,0.64642668
HI,sec,1.8418405104
HI,art,0.4867447893
HI,mov,0.3244007034
HI,fpd,0.247069518
HI,slg,4.8828353729
HI,pri,0.3284167028
HI,grd,0.4231004282
HI,sle,0.4167719652
HI,osv,2.4415358675
HI,trn,0.0399088474
HI,smn,5.65976e-05
HI,fmt,1.0522489768
HI,pet,1.7594911513
HI,cep,0.55712602
HI,wst,0.7869322788
HI,mot,1.0988023636
HI,adm,2.8280762185
HI,soc,0.6464462198
HI,alt,0.0294993628
HI,pmt,0.0820587051
HI,trk,0.1400286198
HI,fdd,1.6743569134
HI,wtt,0.0715313919
HI,wpd,0.3561474164
HI,wht,0.1728812396
HI,wrh,0.5637769614
HI,ott,0.0181969509
HI,che,1.875847394
HI,air,0.443273154
HI,mmf,0.3438330801
HI,otr,0.8883470765
HI,min,0.2297103427
ID,ppd,0.422399261
ID,res,1.9070603056
ID,com,0.8975723262
ID,amb,2.8704612237
ID,fbp,2.0350180637
ID,rec,0.5138524526
ID,con,4.1632696983
ID,agr,1.0710621686
ID,eec,0.2683900881
ID,fnd,0.8859796806
ID,pub,0.4742105847
ID,hou,5.234517912
ID,ins,2.4350588146
ID,tex,0.1068212182
ID,leg,0.8133938369
ID,fen,0.1430146721
ID,uti,0.3438067452
ID,nmp,0.2788097756
ID,brd,1.4701278011
ID,bnk,2.2061211096
ID,ore,2.6910489364
ID,edu,1.1065074551
ID,ote,0.4621229209
ID,man,1.5526366537
ID,mch,0.4477855468
ID,dat,0.6959076588
ID,amd,0.4083758269
ID,oil,0.0599898521
ID,hos,2.5924485698
ID,rnt,0.8564198373
ID,pla,0.5411253372
ID,fof,0.2428598102
ID,fin,0.5242916763
ID,tsv,3.9945679612
ID,nrs,0.5855503851
ID,sec,1.34668265
ID,art,0.3207332209
ID,mov,0.1813470595
ID,fpd,0.1718601878
ID,slg,5.1314119295
ID,pri,0.176974996
ID,grd,0.2394790203
ID,pip,1.08387e-05
ID,sle,0.2782869269
ID,osv,1.5166547015
ID,trn,0.0271423683
ID,smn,0.0131211412
ID,fmt,0.7492768233
ID,pet,1.6893838216
ID,cep,0.740465065
ID,wst,0.3064144307
ID,mot,1.2347622219
ID,adm,1.647923344
ID,soc,0.6103859063
ID,alt,0.032797478
ID,pmt,0.3091940904
ID,trk,0.1244809523
ID,fdd,1.377966573
ID,wtt,0.0836611731
ID,wpd,0.3660366628
ID,wht,0.2201133596
ID,wrh,0.4461396356
ID,ott,0.0155474816
ID,che,1.9007369895
ID,air,0.4301423487
ID,mmf,0.3447648756
ID,otr,0.6342529987
ID,min,0.06682738
IL,ppd,4.3016268404
IL,res,17.7622297613
IL,com,9.7346363685
IL,amb,23.5943489924
IL,fbp,18.4759806874
IL,rec,4.4768917158
IL,con,34.8501844583
IL,agr,7.4552632642
IL,eec,1.8803463121
IL,fnd,5.894336935
IL,pub,5.6842641058
IL,hou,39.7188318615
IL,ins,26.0061324323
IL,tex,1.1699925609
IL,leg,7.4263994143
IL,fen,2.0302530775
IL,uti,3.7929285481
IL,nmp,1.8322979509
IL,brd,16.7506259998
IL,bnk,20.8487798952
IL,ore,28.8220058429
IL,edu,7.6385515342
IL,ote,4.2305083546
IL,man,12.2048092161
IL,mch,9.6429846293
IL,dat,6.9981186776
IL,amd,4.3994527825
IL,oil,7.2197316754
IL,hos,20.7300211378
IL,rnt,7.333794408
IL,pla,4.8251094511
IL,fof,1.1407357003
IL,fin,4.7972373443
IL,tsv,38.9247688409
IL,nrs,4.7329281891
IL,sec,9.3724738613
IL,art,3.4329083119
IL,mov,2.4527922636
IL,fpd,1.0492233862
IL,slg,37.3426761236
IL,pri,1.7124134182
IL,grd,2.1716372566
IL,pip,9.65349e-05
IL,sle,3.9210834061
IL,osv,18.8206898982
IL,trn,0.2454237592
IL,smn,0.1400340555
IL,fmt,7.3084390953
IL,pet,3.8204788744
IL,cep,5.2691302909
IL,wst,2.51233038
IL,mot,10.5244405735
IL,adm,19.0473071925
IL,soc,4.4309423038
IL,alt,0.2909303633
IL,pmt,5.8178271756
IL,trk,1.2148078048
IL,fdd,10.2955774039
IL,wtt,0.7337064206
IL,wpd,2.5070547121
IL,wht,2.4903110246
IL,wrh,2.8874657466
IL,ott,0.1414038623
IL,che,13.3814285707
IL,air,3.7169692958
IL,mmf,2.7779052719
IL,otr,7.3973688916
IL,min,1.2428849806
IN,ppd,3.1088520731
IN,res,10.9528176725
IN,com,4.059285454
IN,amb,15.850367816
IN,fbp,10.5364844655
IN,rec,1.7712311273
IN,con,19.6675073632
IN,agr,4.1462512437
IN,eec,1.5417322653
IN,fnd,2.596133879
IN,pub,2.184406865
IN,hou,24.7019702758
IN,ins,12.3022274538
IN,tex,0.678571601
IN,leg,4.1606813267
IN,fen,0.7867495447
IN,uti,2.6502889146
IN,nmp,1.4268210422
IN,brd,6.7359050589
IN,bnk,10.401788014
IN,ore,14.3504209563
IN,edu,4.751081551
IN,ote,2.4032429436
IN,man,8.9689369312
IN,mch,5.7272111793
IN,dat,3.2529770825
IN,amd,1.8693981558
IN,oil,5.5411812789
IN,hos,16.2368660072
IN,rnt,4.6517259141
IN,pla,4.3593480704
IN,fof,0.6419145019
IN,fin,2.0536084628
IN,tsv,17.0033479502
IN,nrs,3.4306014949
IN,sec,5.3084762655
IN,art,1.4954278015
IN,mov,0.8253915513
IN,fpd,1.038728207
IN,slg,14.7296625637
IN,pri,0.5963050498
IN,grd,1.0421479755
IN,pip,3.17407e-05
IN,sle,1.6847763836
IN,osv,8.193040876
IN,trn,0.1593338979
IN,smn,0.0979445447
IN,fmt,5.5066133149
IN,pet,4.2337900224
IN,cep,2.5598322177
IN,wst,1.4122661002
IN,mot,17.1996911165
IN,adm,9.4083527618
IN,soc,3.1935641212
IN,alt,0.1571298111
IN,pmt,7.832820098
IN,trk,0.7049046401
IN,fdd,4.0792268624
IN,wtt,0.2457116771
IN,wpd,1.3207219246
IN,wht,1.6651845166
IN,wrh,1.7685782707
IN,ott,0.093991084
IN,che,14.3086684203
IN,air,2.0867745227
IN,mmf,1.9078073562
IN,otr,3.2372121597
IN,min,1.5215977659
